epoch,train_acc,train_loss,val_acc,val_loss,current_lr
1,0.78951,0.9921417898082733,0.9261838440111421,0.2997763697151354,1e-05
2,0.9467900000000001,0.20097381469249725,0.946657381615599,0.19550639404227807,1e-05
3,0.9647300000000001,0.12199521746993065,0.9480501392757661,0.17765575069155864,1e-05
4,0.9724700000000001,0.09369672518491745,0.9465181058495822,0.18740040837556207,1e-05
5,0.9774,0.07601918430924416,0.9456824512534819,0.18646432660250278,1e-05
6,0.9804800000000001,0.06427808473587036,0.9463788300835655,0.18090858566561782,1e-05
7,0.98355,0.05378100742220879,0.9438718662952646,0.19773918216773062,1e-05
8,0.98533,0.047699131689667704,0.9408077994428969,0.2086035921048985,1e-05
9,0.9873900000000001,0.04182875277101993,0.9377437325905292,0.22037912664473222,1e-05
10,0.98811,0.03795914596349001,0.9399721448467967,0.2159838570110645,1e-05
11,0.9904000000000001,0.0320939094555378,0.93983286908078,0.2269708707555091,1e-05
12,0.99109,0.028982600044310095,0.9426183844011142,0.22395717612050037,1e-05
13,0.9919800000000001,0.02627801728963852,0.9389972144846797,0.23268626729093886,1e-05
14,0.9927600000000001,0.023454123222231865,0.9364902506963789,0.25435469767343366,1e-05
15,0.99343,0.021796755185872315,0.9332869080779944,0.2683759643008782,1e-05
