epoch,train_acc,train_loss,val_acc,val_loss,current_lr
1,0.9716600000000001,0.09416745317786931,0.8905292479108635,0.4484543917541104,0.001
2,0.9881000000000001,0.037730953390598294,0.841782729805014,0.832484573034523,0.001
3,0.9905700000000001,0.028266237295418977,0.8155988857938719,0.9701193176266999,0.001
4,0.99299,0.022170107809342445,0.8736768802228413,0.6743362933329844,0.001
5,0.9932200000000001,0.021835878547541796,0.9295264623955433,0.23983383138012013,0.001
6,0.9949100000000001,0.015264423270635307,0.9139275766016713,0.27884038887161783,0.001
7,0.99477,0.016129440252464263,0.9096100278551532,0.5030449017965362,0.001
8,0.9957900000000001,0.01346281094213482,0.9253481894150418,0.3105258429023466,0.001
9,0.9952000000000001,0.014922011637506075,0.8317548746518106,0.7947330823903132,0.001
10,0.99548,0.0145214690271765,0.870891364902507,0.5346024991103893,0.001
11,0.99611,0.012018865142955911,0.8956824512534819,0.5240929550484139,0.001
12,0.99709,0.009287746963833343,0.9076601671309192,0.48502711143121646,0.001
13,0.9965400000000001,0.010823721714355052,0.838857938718663,0.8255567965263755,0.001
14,0.9971200000000001,0.008726609048561658,0.8828690807799443,0.4725264385109159,0.001
15,0.9973500000000001,0.008172691625802253,0.9200557103064068,0.36730186850617935,0.001
