epoch,train_acc,train_loss,val_acc,val_loss,current_lr
1,0.9496700000000001,0.19955366174459457,0.9342618384401115,0.23124850721495396,0.0001
2,0.9883400000000001,0.037936376967430116,0.93983286908078,0.20894789582839585,0.0001
3,0.9936,0.021066081757992506,0.9298050139275766,0.2661250423380591,0.0001
4,0.99592,0.01338084808073938,0.9310584958217271,0.2558550534204354,0.0001
5,0.99694,0.009958954973500222,0.9222841225626741,0.3136261898827088,0.0001
6,0.9977800000000001,0.007538553533721715,0.9394150417827298,0.2551580647821214,0.0001
7,0.99804,0.006464056563200429,0.9363509749303621,0.31045782817190404,0.0001
8,0.9983000000000001,0.005512615595730022,0.9306406685236769,0.2941620312776406,0.0001
9,0.99875,0.003908689517355524,0.9282729805013928,0.3729433086692955,0.0001
10,0.9986900000000001,0.004000237207775936,0.9232590529247912,0.34127615500542446,0.0001
11,0.9986900000000001,0.004101984892850742,0.9391364902506965,0.3157867374851188,0.0001
12,0.9986900000000001,0.00413808445104165,0.9426183844011142,0.30051250332618823,0.0001
13,0.9989300000000001,0.003626114352461882,0.9435933147632313,0.26155325293250403,0.0001
14,0.9992200000000001,0.002287125675192801,0.9158774373259053,0.4214416995748338,0.0001
15,0.99911,0.002797807444827631,0.9568245125348189,0.24010858503805893,0.0001
